timestamp,open,high,low,close,volume
2026-05-01T00:00:00Z,39.692,40.28,39.67,39.979,464057.82
2026-05-01T01:00:00Z,39.978,40.406,39.978,40.302,180255.98
2026-05-01T02:00:00Z,40.302,40.413,40.19,40.326,138743.27
2026-05-01T03:00:00Z,40.326,40.48,40.217,40.313,172135.88
2026-05-01T04:00:00Z,40.314,40.395,40.241,40.33,96485.6
2026-05-01T05:00:00Z,40.331,40.347,40.065,40.143,97822.59
2026-05-01T06:00:00Z,40.143,40.227,39.738,39.908,185652.65
2026-05-01T07:00:00Z,39.901,39.978,39.801,39.911,174039.51
2026-05-01T08:00:00Z,39.911,40.67,39.888,40.532,750439.02
2026-05-01T09:00:00Z,40.532,40.88,40.43,40.875,443562.77
2026-05-01T10:00:00Z,40.875,40.898,40.579,40.684,160771.65
2026-05-01T11:00:00Z,40.684,40.737,40.496,40.689,93474.09
2026-05-01T12:00:00Z,40.689,41.072,40.421,40.741,491170.85
2026-05-01T13:00:00Z,40.74,41.031,40.732,40.895,283458.49
2026-05-01T14:00:00Z,40.892,40.969,40.6,40.818,240474.78
2026-05-01T15:00:00Z,40.818,41.142,40.756,40.983,237671.06
2026-05-01T16:00:00Z,40.983,41.088,40.657,40.783,245700.59
2026-05-01T17:00:00Z,40.783,41.111,40.721,41.034,140308.36
2026-05-01T18:00:00Z,41.033,41.142,40.931,40.958,138523.76
2026-05-01T19:00:00Z,40.957,41.01,40.83,40.947,70764.16
2026-05-01T20:00:00Z,40.95,40.982,40.656,40.778,84308.51
2026-05-01T21:00:00Z,40.779,41.037,40.767,41.014,68266.77
2026-05-01T22:00:00Z,41.014,41.127,40.88,40.942,69276.11
2026-05-01T23:00:00Z,40.942,41.142,40.895,41.13,62385.3
2026-05-02T00:00:00Z,41.142,41.27,40.983,41.266,109463.92
2026-05-02T01:00:00Z,41.26,41.297,41.047,41.279,156562.68
2026-05-02T02:00:00Z,41.267,41.359,41.118,41.266,91997.75
2026-05-02T03:00:00Z,41.275,41.463,41.161,41.404,126110.32
2026-05-02T04:00:00Z,41.397,41.505,41.281,41.463,150626.35
2026-05-02T05:00:00Z,41.463,41.464,41.179,41.326,157025.54
2026-05-02T06:00:00Z,41.338,41.427,41.177,41.426,136202.48
2026-05-02T07:00:00Z,41.427,41.695,41.412,41.694,181732.79
2026-05-02T08:00:00Z,41.694,42.06,41.667,42.06,384267.07
2026-05-02T09:00:00Z,42.06,42.447,41.921,41.933,489364.03
2026-05-02T10:00:00Z,41.934,41.934,41.613,41.676,207706.59
2026-05-02T11:00:00Z,41.676,41.78,41.448,41.516,126517.35
2026-05-02T12:00:00Z,41.516,41.679,41.51,41.594,55327.62
2026-05-02T13:00:00Z,41.594,41.749,41.55,41.58,114030.58
2026-05-02T14:00:00Z,41.589,41.597,41.242,41.553,235871.93
2026-05-02T15:00:00Z,41.552,41.688,41.373,41.569,103630.18
2026-05-02T16:00:00Z,41.569,41.69,41.566,41.675,49202.29
2026-05-02T17:00:00Z,41.673,41.721,41.441,41.521,61378.15
2026-05-02T18:00:00Z,41.521,41.83,41.426,41.792,150605.6
2026-05-02T19:00:00Z,41.794,41.85,41.542,41.593,84242.37
2026-05-02T20:00:00Z,41.595,41.595,41.367,41.501,94417.14
2026-05-02T21:00:00Z,41.501,41.618,41.315,41.353,126376.03
2026-05-02T22:00:00Z,41.352,41.47,41.256,41.359,111404.07
2026-05-02T23:00:00Z,41.358,41.362,41.247,41.254,33847.77
2026-05-03T00:00:00Z,41.253,41.36,41.144,41.175,67403.05
2026-05-03T01:00:00Z,41.175,41.25,40.971,41.109,176513.1
2026-05-03T02:00:00Z,41.108,41.191,40.93,40.939,58145.78
2026-05-03T03:00:00Z,40.942,41.063,40.843,41.04,75421.65
2026-05-03T04:00:00Z,41.025,41.114,40.88,40.936,35399.6
2026-05-03T05:00:00Z,40.935,41.131,40.925,40.963,104113.72
2026-05-03T06:00:00Z,40.963,40.976,40.787,40.953,80685.86
2026-05-03T07:00:00Z,40.953,41.064,40.861,41.024,60392.47
2026-05-03T08:00:00Z,41.024,41.124,40.893,41.111,92236.23
2026-05-03T09:00:00Z,41.111,41.291,40.99,41.134,144269.54
2026-05-03T10:00:00Z,41.134,41.18,41.009,41.041,52971.98
2026-05-03T11:00:00Z,41.039,41.185,40.931,40.984,58883.69
2026-05-03T12:00:00Z,40.983,41.16,40.983,41.132,55042.94
2026-05-03T13:00:00Z,41.132,41.142,40.92,40.998,80762.44
2026-05-03T14:00:00Z,41.0,41.194,40.802,40.834,96831.84
2026-05-03T15:00:00Z,40.834,41.03,40.737,40.764,171586.81
2026-05-03T16:00:00Z,40.763,41.069,40.678,40.99,255449.22
2026-05-03T17:00:00Z,40.989,41.194,40.951,41.123,115535.06
2026-05-03T18:00:00Z,41.123,41.196,40.989,41.196,57459.7
2026-05-03T19:00:00Z,41.196,41.279,41.119,41.225,66430.65
2026-05-03T20:00:00Z,41.225,41.375,41.196,41.352,124847.95
2026-05-03T21:00:00Z,41.352,41.352,41.065,41.195,96532.58
2026-05-03T22:00:00Z,41.195,41.703,41.151,41.627,330918.41
2026-05-03T23:00:00Z,41.627,41.733,41.35,41.552,217553.88
2026-05-04T00:00:00Z,41.552,41.552,41.113,41.338,209992.7
2026-05-04T01:00:00Z,41.339,41.559,40.944,41.553,196519.55
2026-05-04T02:00:00Z,41.553,42.018,41.391,41.936,443815.57
2026-05-04T03:00:00Z,41.937,42.236,41.87,42.191,243283.76
2026-05-04T04:00:00Z,42.192,42.6,41.853,42.496,422079.03
2026-05-04T05:00:00Z,42.497,42.581,42.083,42.093,127598.04
2026-05-04T06:00:00Z,42.093,42.128,41.667,41.919,214431.03
2026-05-04T07:00:00Z,41.924,42.059,41.782,41.83,125344.6
2026-05-04T08:00:00Z,41.83,41.853,41.616,41.641,96248.56
2026-05-04T09:00:00Z,41.644,41.944,41.6,41.923,108950.46
2026-05-04T10:00:00Z,41.922,41.943,41.088,41.397,492163.95
2026-05-04T11:00:00Z,41.396,41.481,41.199,41.339,90302.03
2026-05-04T12:00:00Z,41.339,41.53,41.283,41.291,92232.97
2026-05-04T13:00:00Z,41.291,41.291,40.818,40.941,328472.48
2026-05-04T14:00:00Z,40.941,41.747,40.897,41.649,476359.2
2026-05-04T15:00:00Z,41.654,41.676,41.036,41.376,459547.29
2026-05-04T16:00:00Z,41.374,41.52,41.101,41.352,231577.28
2026-05-04T17:00:00Z,41.35,41.768,41.34,41.588,161058.24
2026-05-04T18:00:00Z,41.588,41.613,41.342,41.426,114263.89
2026-05-04T19:00:00Z,41.426,41.637,41.323,41.603,147392.52
2026-05-04T20:00:00Z,41.604,41.698,41.512,41.64,145871.39
2026-05-04T21:00:00Z,41.64,42.538,41.634,42.327,314868.12
2026-05-04T22:00:00Z,42.326,42.485,42.017,42.096,175652.86
2026-05-04T23:00:00Z,42.095,42.095,41.791,41.812,141826.18
2026-05-05T00:00:00Z,41.813,42.079,41.77,42.049,131328.56
